"Code","orig_name","old_name","name","speciesid"
200,"Koeleria pyramidata","Koeleria pyramidata","Koeleria pyramidata","Koe_pyr"
201,"Lactuca serriola","Lactuca serriola","Lactuca serriola","Lac_ser"
202,"Lamium album","Lamium album","Lamium album","Lam_alb"
203,"Lamium amplexicaule","Lamium amplexicaule","Lamium amplexicaule","Lam_amp"
204,"Lamium purpureum","Lamium purpureum","Lamium purpureum","Lam_pur"
205,"Lapsana communis","Lapsana communis","Lapsana communis","Lap_com"
206,"Laserpitium latifolium","Laserpitium latifolium","Laserpitium latifolium","Las_lat"
207,"Laserpitium prutenicum","Laserpitium prutenicum","Laserpitium prutenicum","Las_pru"
208,"Lathyrus latifolius","Lathyrus latifolius","Lathyrus latifolius","Lat_lat"
209,"Lathyrus niger","Lathyrus niger","Lathyrus niger","Lat_nig"
211,"Lathyrus pannonicus subsp. pannonicus","Lathyrus pannonicus subsp. pannonicus","Lathyrus pannonicus","Lat_pan"
210,"Lathyrus pannonicus subsp. collinus","Lathyrus pannonicus subsp. collinus","Lathyrus pannonicus subsp. collinus","Lat_pan1"
212,"Lathyrus pratensis","Lathyrus pratensis","Lathyrus pratensis","Lat_pra"
213,"Lathyrus tuberosus","Lathyrus tuberosus","Lathyrus tuberosus","Lat_tub"
244,"Muscari comosum","Muscari comosum","Leopoldia comosa","Leo_com"
214,"Leontodon hispidus","Leontodon hispidus","Leontodon hispidus","Leo_his"
215,"Leucanthemum vulgare agg.","Leucanthemum vulgare agg.","Leucanthemum vulgare","Leu_vul"
217,"Ligustrum vulgare juv.","Ligustrum vulgare","Ligustrum vulgare","Lig_vul"
218,"Lilium bulbiferum","Lilium bulbiferum","Lilium bulbiferum","Lil_bul"
219,"Lilium martagon","Lilium martagon","Lilium martagon","Lil_mar"
221,"Linum catharticum","Linum catharticum","Linum catharticum","Lin_cat"
222,"Linum flavum","Linum flavum","Linum flavum","Lin_fla"
220,"Linaria vulgaris","Linaria vulgaris","Linaria vulgaris","Lin_vul"
224,"Lolium multiflorum","Lolium multiflorum","Lolium multiflorum","Lol_mul"
225,"Lolium perenne","Lolium perenne","Lolium perenne","Lol_per"
226,"Lotus corniculatus","Lotus corniculatus","Lotus corniculatus","Lot_cor"
227,"Lotus maritimus","Lotus maritimus","Lotus maritimus","Lot_mar"
228,"Luzula campestris agg.","Luzula campestris agg.","Luzula campestris","Luz_cam"
230,"Lysimachia nummularia","Lysimachia nummularia","Lysimachia nummularia","Lys_num"
232,"Malva sylvestris","Malva sylvestris","Malva sylvestris","Mal_syl"
233,"Medicago falcata","Medicago falcata","Medicago falcata","Med_fal"
234,"Medicago lupulina","Medicago lupulina","Medicago lupulina","Med_lup"
235,"Medicago sativa","Medicago sativa","Medicago sativa","Med_sat"
236,"Melampyrum arvense","Melampyrum arvense","Melampyrum arvense","Mel_arv"
237,"Melampyrum cristatum","Melampyrum cristatum","Melampyrum cristatum","Mel_cri"
238,"Melampyrum nemorosum","Melampyrum nemorosum","Melampyrum nemorosum","Mel_nemo"
239,"Melilotus officinalis","Melilotus officinalis","Melilotus officinalis","Mel_off"
240,"Mentha arvensis","Mentha arvensis","Mentha arvensis","Men_arv"
243,"Molinia arundinacea","Molinia arundinacea","Molinia caerulea","Mol_cae"
245,"Myosotis arvensis","Myosotis arvensis","Myosotis arvensis","Myo_arv"
223,"Listera ovata","Listera ovata","Neottia ovata","Neo_ova"
253,"Orchis ustulata var. aestivalis","Orchis ustulata var. aestivalis","Neotinea ustulata var. aestivalis","Neo_ust"
246,"Neslia paniculata","Neslia paniculata","Neslia paniculata","Nes_pan"
247,"Odontites vernus subsp. serotinus","Odontites vernus subsp. serotinus","Odontites vernus subsp. salinus","Odo_ver1"
249,"Ononis spinosa subsp. spinosa","Ononis spinosa subsp. spinosa","Ononis spinosa","Ono_spi"
248,"Onobrychis viciifolia agg.","Onobrychis viciifolia agg.","Onobrychis viciifolia","Ono_vic"
250,"Ophioglossum vulgatum","Ophioglossum vulgatum","Ophioglossum vulgatum","Oph_vul"
251,"Orchis mascula subsp. speciosa","Orchis mascula subsp. speciosa","Orchis mascula subsp. speciosa","Orc_mas1"
252,"Orchis pallens","Orchis pallens","Orchis pallens","Orc_pal"
254,"Origanum vulgare","Origanum vulgare","Origanum vulgare","Ori_vul"
255,"Ornithogalum kochii","Ornithogalum kochii","Ornithogalum orthophyllum subsp. kochii","Orn_ort1"
256,"Oxalis stricta","Oxalis stricta","Oxalis stricta","Oxa_str"
257,"Papaver rhoeas","Papaver rhoeas","Papaver rhoeas","Pap_rho"
258,"Pastinaca sativa","Pastinaca sativa","Pastinaca sativa","Pas_sat"
259,"Persicaria lapathifolia","Persicaria lapathifolia","Persicaria lapathifolia","Per_lap"
260,"Peucedanum alsaticum","Peucedanum alsaticum","Peucedanum alsaticum","Peu_als"
261,"Peucedanum cervaria","Peucedanum cervaria","Peucedanum cervaria","Peu_cer"
262,"Phleum phleoides","Phleum phleoides","Phleum phleoides","Phl_phl"
263,"Phleum pratense agg.","Phleum pratense agg.","Phleum pratense","Phl_pra"
264,"Phragmites australis","Phragmites australis","Phragmites australis","Phr_aus"
265,"Picea abies juv.","Picea abies","Picea abies","Pic_abi"
266,"Picris hieracioides","Picris hieracioides","Picris hieracioides","Pic_hie"
268,"Pilosella officinarum","Pilosella officinarum","Pilosella officinarum","Pil_off"
267,"Pilosella bauhini s. l. (mostly P. bauhini and P. densiflora)","Pilosella bauhini","Pilosella piloselloides subsp. bauhinii","Pil_pil1"
269,"Pimpinella major","Pimpinella major","Pimpinella major","Pim_maj"
270,"Pimpinella saxifraga","Pimpinella saxifraga","Pimpinella saxifraga","Pim_sax"
271,"Pinus sylvestris juv.","Pinus sylvestris","Pinus sylvestris","Pin_syl"
275,"Platanthera bifolia","Platanthera bifolia","Platanthera bifolia","Pla_bif"
272,"Plantago lanceolata","Plantago lanceolata","Plantago lanceolata","Pla_lan"
273,"Plantago major agg.","Plantago major agg.","Plantago major","Pla_maj"
274,"Plantago media","Plantago media","Plantago media","Pla_med"
276,"Poa annua","Poa annua","Poa annua","Poa_ann"
277,"Poa compressa","Poa compressa","Poa compressa","Poa_com"
278,"Poa palustris","Poa palustris","Poa palustris","Poa_pal"
279,"Poa pratensis agg.","Poa pratensis agg.","Poa pratensis","Poa_pra"
280,"Poa trivialis","Poa trivialis","Poa trivialis","Poa_tri"
329,"Scorzonera purpurea","Scorzonera purpurea","Podospermum purpureum","Pod_pur"
285,"Polygonum aviculare agg.","Polygonum aviculare agg.","Polygonum aviculare","Pol_avi"
281,"Polygala comosa","Polygala comosa","Polygala comosa","Pol_com"
282,"Polygala major","Polygala major","Polygala major","Pol_maj"
284,"Polygonatum odoratum","Polygonatum odoratum","Polygonatum odoratum","Pol_odo"
283,"Polygala vulgaris agg.","Polygala vulgaris agg.","Polygala vulgaris","Pol_vul"
286,"Populus tremula juv.","Populus tremula","Populus tremula","Pop_tre"
287,"Potentilla alba","Potentilla alba","Potentilla alba","Pot_alb"
288,"Potentilla anserina","Potentilla anserina","Potentilla anserina","Pot_ans"
289,"Potentilla argentea","Potentilla argentea","Potentilla argentea","Pot_arg"
290,"Potentilla erecta","Potentilla erecta","Potentilla erecta","Pot_ere"
291,"Potentilla heptaphylla","Potentilla heptaphylla","Potentilla heptaphylla","Pot_hep"
292,"Potentilla reptans","Potentilla reptans","Potentilla reptans","Pot_rep"
293,"Primula veris","Primula veris","Primula veris","Pri_ver"
294,"Prunella grandiflora","Prunella grandiflora","Prunella grandiflora","Pru_gra"
295,"Prunella laciniata","Prunella laciniata","Prunella laciniata","Pru_lac"
296,"Prunella vulgaris","Prunella vulgaris","Prunella vulgaris","Pru_vul"
298,"Pulmonaria angustifolia","Pulmonaria angustifolia","Pulmonaria angustifolia","Pul_ang"
299,"Pulmonaria mollis","Pulmonaria mollis","Pulmonaria mollis","Pul_mol"
302,"Ranunculus acris subsp. acris","Ranunculus acris subsp. acris","Ranunculus acris","Ran_acr"
303,"Ranunculus arvensis","Ranunculus arvensis","Ranunculus arvensis","Ran_arv"
304,"Ranunculus auricomus agg.","Ranunculus auricomus agg.","Ranunculus auricomus","Ran_aur"
305,"Ranunculus bulbosus","Ranunculus bulbosus","Ranunculus bulbosus","Ran_bul"
306,"Ranunculus polyanthemos","Ranunculus polyanthemos","Ranunculus polyanthemos","Ran_pol"
307,"Ranunculus repens","Ranunculus repens","Ranunculus repens","Ran_rep"
308,"Raphanus raphanistrum","Raphanus raphanistrum","Raphanus raphanistrum","Rap_rap"
309,"Reseda lutea","Reseda lutea","Reseda lutea","Res_lutea"
310,"Rhamnus cathartica juv.","Rhamnus cathartica","Rhamnus cathartica","Rha_cat"
311,"Rhinanthus major","Rhinanthus major","Rhinanthus major","Rhi_maj"
312,"Rhinanthus minor","Rhinanthus minor","Rhinanthus minor","Rhi_min"
314,"Rubus caesius","Rubus caesius","Rubus caesius","Rub_cae"
315,"Rubus fruticosus agg. (R. subg. Rubus excl. Rubus caesius","Rubus fruticosus agg.","Rubus vestitus","Rub_ves"
317,"Rumex acetosella","Rumex acetosella","Rumex acetosella","Rum_ace"
316,"Rumex acetosa","Rumex acetosa","Rumex acetosa","Rum_acetosa"
318,"Rumex crispus","Rumex crispus","Rumex crispus","Rum_cri"
319,"Rumex obtusifolius","Rumex obtusifolius","Rumex obtusifolius","Rum_obt"
321,"Salvia pratensis","Salvia pratensis","Salvia pratensis","Sal_pra"
322,"Salvia verticillata","Salvia verticillata","Salvia verticillata","Sal_ver"
323,"Sambucus nigra juv.","Sambucus nigra","Sambucus nigra","Sam_nig"
324,"Sanguisorba minor","Sanguisorba minor","Sanguisorba minor","San_min"
325,"Sanguisorba officinalis","Sanguisorba officinalis","Sanguisorba officinalis","San_off"
326,"Saxifraga bulbifera","Saxifraga bulbifera","Saxifraga bulbifera","Sax_bul"
327,"Scabiosa ochroleuca","Scabiosa ochroleuca","Scabiosa ochroleuca","Sca_och"
330,"Scorzoneroides autumnalis","Scorzoneroides autumnalis","Scorzoneroides autumnalis","Sco_aut"
328,"Scorzonera hispanica","Scorzonera hispanica","Scorzonera hispanica","Sco_his"
331,"Scrophularia nodosa","Scrophularia nodosa","Scrophularia nodosa","Scr_nod"
332,"Securigera varia","Securigera varia","Securigera varia","Sec_var"
333,"Sedum sexangulare","Sedum sexangulare","Sedum sexangulare","Sed_sex"
335,"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris","Sen_vul"
336,"Serratula tinctoria","Serratula tinctoria","Serratula tinctoria","Ser_tin"
216,"Libanotis pyrenaica","Libanotis pyrenaica","Seseli libanotis","Ses_lib"
337,"Setaria pumila","Setaria pumila","Setaria pumila","Set_pum"
338,"Setaria viridis","Setaria viridis","Setaria viridis","Set_vir"
339,"Sherardia arvensis","Sherardia arvensis","Sherardia arvensis","She_arv"
229,"Lychnis flos-cuculi","Lychnis flos-cuculi","Silene flos-cuculi","Sil_flo"
341,"Silene latifolia subsp. alba","Silene latifolia subsp. alba","Silene latifolia subsp. alba","Sil_lat1"
342,"Silene noctiflora","Silene noctiflora","Silene noctiflora","Sil_noc"
343,"Silene nutans","Silene nutans","Silene nutans","Sil_nut"
340,"Silaum silaus","Silaum silaus","Silaum silaus","Sil_sil"
418,"Viscaria vulgaris","Viscaria vulgaris","Silene viscaria","Sil_visca"
344,"Silene vulgaris","Silene vulgaris","Silene vulgaris","Sil_vul"
345,"Sinapis alba","Sinapis alba","Sinapis alba","Sin_alb"
346,"Sinapis arvensis","Sinapis arvensis","Sinapis arvensis","Sin_arv"
347,"Solanum nigrum","Solanum nigrum","Solanum americanum","Sol_ame"
348,"Solidago virgaurea subsp. virgaurea","Solidago virgaurea subsp. virgaurea","Solidago virgaurea","Sol_vir"
349,"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis","Son_arv"
350,"Sonchus asper","Sonchus asper","Sonchus asper","Son_asp"
351,"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus","Son_ole"
352,"Stachys annua","Stachys annua","Stachys annua","Sta_ann"
45,"Betonica officinalis","Betonica officinalis","Stachys officinalis","Sta_off"
353,"Stachys palustris","Stachys palustris","Stachys palustris","Sta_pal"
354,"Stachys recta","Stachys recta","Stachys recta","Sta_rec"
355,"Stellaria graminea","Stellaria graminea","Stellaria graminea","Ste_gra"
356,"Stellaria media","Stellaria media","Stellaria media","Ste_med"
357,"Succisa pratensis","Succisa pratensis","Succisa pratensis","Suc_pra"
358,"Symphytum officinale","Symphytum officinale","Symphytum officinale","Sym_off"
359,"Symphytum tuberosum","Symphytum tuberosum","Symphytum tuberosum","Sym_tub"
360,"Tanacetum corymbosum","Tanacetum corymbosum","Tanacetum corymbosum","Tan_cor"
361,"Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare","Tan_vul"
363,"Teucrium chamaedrys","Teucrium chamaedrys","Teucrium chamaedrys","Teu_cha"
364,"Thalictrum lucidum","Thalictrum lucidum","Thalictrum lucidum","Tha_luc"
365,"Thalictrum simplex subsp. galioides","Thalictrum simplex subsp. galioides","Thalictrum simplex subsp. galioides","Tha_sim1"
366,"Thesium linophyllon","Thesium linophyllon","Thesium linophyllon","The_lin"
367,"Thlaspi arvense","Thlaspi arvense","Thlaspi arvense","Thl_arv"
242,"Microthlaspi perfoliatum","Microthlaspi perfoliatum","Thlaspi perfoliatum","Thl_per"
369,"Thymus pulegioides","Thymus pulegioides","Thymus pulegioides","Thy_pul"
368,"Thymus pannonicus","Thymus pannonicus","Thymus pulegioides subsp. pannonicus","Thy_pul1"
371,"Torilis japonica","Torilis japonica","Torilis japonica","Tor_jap"
372,"Tragopogon dubius","Tragopogon dubius","Tragopogon dubius","Tra_dub"
374,"Traunsteinera globosa","Traunsteinera globosa","Traunsteinera globosa","Tra_glo"
373,"Tragopogon orientalis","Tragopogon orientalis","Tragopogon orientalis","Tra_ori"
389,"Triticum aestivum","Triticum aestivum","Triticum aestivum","Tri_aes"
375,"Trifolium alpestre","Trifolium alpestre","Trifolium alpestre","Tri_alp"
376,"Trifolium arvense","Trifolium arvense","Trifolium arvense","Tri_arv"
377,"Trifolium campestre","Trifolium campestre","Trifolium campestre","Tri_cam"
378,"Trifolium dubium","Trifolium dubium","Trifolium dubium","Tri_dub"
388,"Trisetum flavescens","Trisetum flavescens","Trisetum flavescens","Tri_fla"
379,"Trifolium hybridum","Trifolium hybridum","Trifolium hybridum","Tri_hyb"
380,"Trifolium incarnatum","Trifolium incarnatum","Trifolium incarnatum","Tri_inc"
387,"Tripleurospermum inodorum","Tripleurospermum inodorum","Tripleurospermum inodorum","Tri_ino"
381,"Trifolium medium","Trifolium medium","Trifolium medium","Tri_med"
382,"Trifolium montanum","Trifolium montanum","Trifolium montanum","Tri_mont"
383,"Trifolium ochroleucon","Trifolium ochroleucon","Trifolium ochroleucon","Tri_och"
384,"Trifolium pratense","Trifolium pratense","Trifolium pratense","Tri_pra"
385,"Trifolium repens","Trifolium repens","Trifolium repens","Tri_rep"
386,"Trifolium rubens","Trifolium rubens","Trifolium rubens","Tri_rub"
390,"Tussilago farfara","Tussilago farfara","Tussilago farfara","Tus_far"
391,"Urtica dioica","Urtica dioica","Urtica dioica","Urt_dio"
392,"Valeriana officinalis agg.","Valeriana officinalis agg.","Valeriana officinalis","Val_off"
395,"Veronica anagallis-aquatica","Veronica anagallis-aquatica","Veronica anagallis-aquatica","Ver_ana"
396,"Veronica arvensis","Veronica arvensis","Veronica arvensis","Ver_arv"
404,"Veronica teucrium","Veronica teucrium","Veronica austriaca subsp. teucrium","Ver_aus1"
397,"Veronica chamaedrys agg.","Veronica chamaedrys agg.","Veronica chamaedrys","Ver_cha"
393,"Verbascum chaixii subsp. austriacum","Verbascum chaixii subsp. austriacum","Verbascum chaixii subsp. austriacum","Ver_cha1"
400,"Veronica persica","Veronica persica","Veronica persica","Ver_per"
401,"Veronica polita","Veronica polita","Veronica polita","Ver_pol"
402,"Veronica serpyllifolia","Veronica serpyllifolia","Veronica serpyllifolia","Ver_ser"
403,"Veronica spicata subsp. spicata","Veronica spicata subsp. spicata","Veronica spicata","Ver_spi"
399,"Veronica orchidea","Veronica orchidea","Veronica spicata subsp. orchidea","Ver_spi1"
398,"Veronica officinalis","Veronica officinalis","Veronica officinalis","Vero_off"
406,"Vicia cracca","Vicia cracca","Vicia cracca","Vic_cra"
407,"Vicia hirsuta","Vicia hirsuta","Vicia hirsuta","Vic_hir"
405,"Vicia angustifolia","Vicia angustifolia","Vicia sativa subsp. nigra","Vic_sat1"
408,"Vicia sepium","Vicia sepium","Vicia sepium","Vic_sep"
409,"Vicia tenuifolia","Vicia tenuifolia","Vicia tenuifolia","Vic_ten"
410,"Vicia tetrasperma","Vicia tetrasperma","Vicia tetrasperma","Vic_tet"
411,"Vicia villosa","Vicia villosa","Vicia villosa","Vic_vil"
412,"Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Vin_hir"
413,"Viola arvensis","Viola arvensis","Viola arvensis","Vio_arv"
414,"Viola canina","Viola canina","Viola canina","Vio_can"
415,"Viola hirta","Viola hirta","Viola hirta","Vio_hir"
416,"Viola reichenbachiana","Viola reichenbachiana","Viola reichenbachiana","Vio_rei"
417,"Viola riviniana","Viola riviniana","Viola riviniana","Vio_riv"
