"name","speciesid"
"Adonis aestivalis","Ado_aes"
"Aegopodium podagraria","Aeg_pod"
"Aethusa cynapium","Aet_cyn"
"Agrostis stolonifera","Agr_sto"
"Agrostis vinealis","Agr_vin"
"Ajuga genevensis","Aju_gen"
"Ajuga reptans","Aju_rep"
"Anagallis arvensis","Ana_arv"
"Anacamptis pyramidalis","Ana_pyr"
"Anemone sylvestris","Ane_syl"
"Angelica sylvestris","Ang_syl"
"Anthoxanthum odoratum","Ant_odo"
"Anthericum ramosum","Ant_ram"
"Apera spica-venti","Ape_spi"
"Aquilegia vulgaris","Aqu_vul"
"Arabis hirsuta","Ara_hir"
"Artemisia vulgaris","Art_vul"
"Asarum europaeum","Asa_eur"
"Asperula cynanchica","Asp_cyn"
"Asperula tinctoria","Asp_tin"
"Aster amellus","Ast_ame"
"Astragalus danicus","Ast_dan"
"Astragalus glycyphyllos","Ast_gly"
"Astrantia major","Ast_maj"
"Atriplex patula","Atr_pat"
"Atriplex sagittata","Atr_sag"
"Bellis perennis","Bel_per"
"Betula pendula","Bet_pen"
"Botrychium lunaria","Bot_lun"
"Brassica napus","Bra_nap"
"Brachypodium pinnatum","Bra_pin"
"Brachypodium sylvaticum","Bra_syl"
"Bromus sterilis","Bro_ste"
"Bupleurum falcatum","Bup_fal"
"Calamagrostis arundinacea","Cal_aru"
"Calamagrostis epigejos","Cal_epi"
"Campanula trachelium","Cam_tra"
"Carlina acaulis","Car_aca"
"Carduus acanthoides","Car_acanth"
"Carpinus betulus","Car_bet"
"Carex caryophyllea","Car_cary"
"Carduus crispus","Car_cri"
"Carex digitata","Car_dig"
"Carex filiformis","Car_fil"
"Carex flacca","Car_fla"
"Carex hirta","Car_hir"
"Carex michelii","Car_mic"
"Carex montana","Car_mon"
"Carex muricata","Car_mur"
"Carex pallescens","Car_pal"
"Carex panicea","Car_pan"
"Carex pilulifera","Car_pil"
"Cardamine pratensis subsp. matthioli","Car_pra1"
"Centaurium erythraea","Cen_ery"
"Centaurea phrygia subsp. stenolepis","Cen_phr1"
"Cerastium arvense","Cer_arv"
"Cerastium brachypetalum","Cer_bra"
"Cerastium fontanum subsp. vulgare","Cer_fon1"
"Chaerophyllum aromaticum","Cha_aro"
"Chaenorhinum minus","Cha_min"
"Chamaecytisus virescens","Cha_vir"
"Chenopodium polyspermum","Che_pol"
"Cirsium canum","Cir_can"
"Cirsium palustre","Cir_pal"
"Cirsium pannonicum","Cir_pan"
"Clematis recta","Cle_rec"
"Clematis vitalba","Cle_vit"
"Colchicum autumnale","Col_aut"
"Convallaria majalis","Con_maj"
"Corylus avellana","Cor_ave"
"Cornus sanguinea","Cor_san"
"Crepis praemorsa","Cre_pra"
"Cruciata glabra","Cru_gla"
"Cuscuta epithymum","Cus_epi"
"Cyanus triumfettii","Cya_tri"
"Cynosurus cristatus","Cyn_cri"
"Dactylorhiza sambucina","Dac_sam"
"Danthonia decumbens","Dan_dec"
"Deschampsia cespitosa","Des_ces"
"Dianthus armeria","Dia_arm"
"Dipsacus fullonum","Dip_ful"
"Dorycnium pentaphyllum","Dor_pen"
"Dryopteris filix-mas","Dry_fil"
"Echinochloa crus-galli","Ech_cru"
"Epilobium montanum","Epi_mon"
"Epilobium tetragonum","Epi_tet"
"Equisetum arvense","Equ_arv"
"Erigeron acris","Eri_acr"
"Erigeron annuus","Eri_ann"
"Erigeron canadensis","Eri_can"
"Erysimum cheiranthoides","Ery_che"
"Eupatorium cannabinum","Eup_can"
"Euphorbia esula subsp. tommasiniana","Eup_esu1"
"Euphorbia exigua","Eup_exi"
"Euphorbia falcata","Eup_fal"
"Euphorbia helioscopia","Eup_hel"
"Euphorbia illirica","Eup_ill"
"Euphorbia platyphyllos","Eup_pla"
"Fallopia convolvulus","Fal_con"
"Festuca filiformis","Fes_fil"
"Festuca pratensis","Fes_pra"
"Festuca trachyphylla","Fes_tra"
"Fraxinus excelsior","Fra_exc"
"Fragaria viridis","Fra_viri"
"Galium aparine","Gal_apa"
"Galium pumilum","Gal_pum"
"Gentiana cruciata","Gen_cru"
"Genista germanica","Gen_ger"
"Gentiana pneumonanthe","Gen_pne"
"Genista tinctoria","Gen_tin"
"Geranium columbinum","Ger_col"
"Geranium dissectum","Ger_dis"
"Geranium sanguineum","Ger_san"
"Geum urbanum","Geu_urb"
"Gladiolus imbricatus","Gla_imb"
"Glechoma hederacea","Gle_hed"
"Gnaphalium sylvaticum","Gna_syl"
"Gymnadenia conopsea","Gym_con"
"Helianthemum ovatum","Hel_ova"
"Helictochloa pratensis","Helictoch_pra"
"Hieracium sabaudum","Hie_sab"
"Hypericum hirsutum","Hyp_hir"
"Hypochaeris maculata","Hyp_mac"
"Hypericum maculatum","Hyp_macul"
"Hypochaeris radicata","Hyp_rad"
"Inula ensifolia","Inu_ens"
"Inula hirta","Inu_hir"
"Iris variegata","Iri_var"
"Jacobaea vulgaris","Jac_vul"
"Juglans regia","Jug_reg"
"Kickxia elatine","Kic_ela"
"Kickxia spuria","Kic_spu"
"Lamium album","Lam_alb"
"Lamium amplexicaule","Lam_amp"
"Lamium purpureum","Lam_pur"
"Lapsana communis","Lap_com"
"Laserpitium latifolium","Las_lat"
"Laserpitium prutenicum","Las_pru"
"Lathyrus latifolius","Lat_lat"
"Lathyrus niger","Lat_nig"
"Lathyrus pannonicus","Lat_pan"
"Lathyrus pannonicus subsp. collinus","Lat_pan1"
"Leopoldia comosa","Leo_com"
"Ligustrum vulgare","Lig_vul"
"Lilium bulbiferum","Lil_bul"
"Lilium martagon","Lil_mar"
"Linum catharticum","Lin_cat"
"Linum flavum","Lin_fla"
"Lolium perenne","Lol_per"
"Luzula campestris","Luz_cam"
"Lysimachia nummularia","Lys_num"
"Melampyrum arvense","Mel_arv"
"Melampyrum cristatum","Mel_cri"
"Melampyrum nemorosum","Mel_nemo"
"Mentha arvensis","Men_arv"
"Molinia caerulea","Mol_cae"
"Myosotis arvensis","Myo_arv"
"Neottia ovata","Neo_ova"
"Neotinea ustulata var. aestivalis","Neo_ust"
"Neslia paniculata","Nes_pan"
"Odontites vernus subsp. salinus","Odo_ver1"
"Ophioglossum vulgatum","Oph_vul"
"Orchis mascula subsp. speciosa","Orc_mas1"
"Orchis pallens","Orc_pal"
"Ornithogalum orthophyllum subsp. kochii","Orn_ort1"
"Oxalis stricta","Oxa_str"
"Persicaria lapathifolia","Per_lap"
"Peucedanum alsaticum","Peu_als"
"Peucedanum cervaria","Peu_cer"
"Phleum phleoides","Phl_phl"
"Phragmites australis","Phr_aus"
"Picea abies","Pic_abi"
"Picris hieracioides","Pic_hie"
"Pilosella officinarum","Pil_off"
"Pilosella piloselloides subsp. bauhinii","Pil_pil1"
"Pinus sylvestris","Pin_syl"
"Platanthera bifolia","Pla_bif"
"Poa palustris","Poa_pal"
"Poa trivialis","Poa_tri"
"Podospermum purpureum","Pod_pur"
"Polygala comosa","Pol_com"
"Polygala major","Pol_maj"
"Polygonatum odoratum","Pol_odo"
"Polygala vulgaris","Pol_vul"
"Populus tremula","Pop_tre"
"Potentilla alba","Pot_alb"
"Potentilla anserina","Pot_ans"
"Potentilla erecta","Pot_ere"
"Potentilla heptaphylla","Pot_hep"
"Potentilla reptans","Pot_rep"
"Primula veris","Pri_ver"
"Prunella grandiflora","Pru_gra"
"Prunella laciniata","Pru_lac"
"Pulmonaria angustifolia","Pul_ang"
"Pulmonaria mollis","Pul_mol"
"Ranunculus arvensis","Ran_arv"
"Ranunculus auricomus","Ran_aur"
"Ranunculus bulbosus","Ran_bul"
"Ranunculus polyanthemos","Ran_pol"
"Ranunculus repens","Ran_rep"
"Reseda lutea","Res_lutea"
"Rhamnus cathartica","Rha_cat"
"Rhinanthus major","Rhi_maj"
"Rubus caesius","Rub_cae"
"Rubus vestitus","Rub_ves"
"Rumex crispus","Rum_cri"
"Rumex obtusifolius","Rum_obt"
"Sambucus nigra","Sam_nig"
"Saxifraga bulbifera","Sax_bul"
"Scorzoneroides autumnalis","Sco_aut"
"Scorzonera hispanica","Sco_his"
"Scrophularia nodosa","Scr_nod"
"Sedum sexangulare","Sed_sex"
"Senecio vulgaris","Sen_vul"
"Serratula tinctoria","Ser_tin"
"Seseli libanotis","Ses_lib"
"Setaria pumila","Set_pum"
"Sherardia arvensis","She_arv"
"Silene flos-cuculi","Sil_flo"
"Silene noctiflora","Sil_noc"
"Silene nutans","Sil_nut"
"Silene viscaria","Sil_visca"
"Sinapis arvensis","Sin_arv"
"Solanum americanum","Sol_ame"
"Solidago virgaurea","Sol_vir"
"Sonchus asper","Son_asp"
"Sonchus oleraceus","Son_ole"
"Stachys annua","Sta_ann"
"Stachys palustris","Sta_pal"
"Stellaria graminea","Ste_gra"
"Succisa pratensis","Suc_pra"
"Symphytum officinale","Sym_off"
"Symphytum tuberosum","Sym_tub"
"Tanacetum vulgare","Tan_vul"
"Teucrium chamaedrys","Teu_cha"
"Thalictrum lucidum","Tha_luc"
"Thalictrum simplex subsp. galioides","Tha_sim1"
"Thesium linophyllon","The_lin"
"Thlaspi perfoliatum","Thl_per"
"Thymus pulegioides","Thy_pul"
"Thymus pulegioides subsp. pannonicus","Thy_pul1"
"Torilis japonica","Tor_jap"
"Traunsteinera globosa","Tra_glo"
"Tragopogon orientalis","Tra_ori"
"Triticum aestivum","Tri_aes"
"Trifolium alpestre","Tri_alp"
"Trisetum flavescens","Tri_fla"
"Tripleurospermum inodorum","Tri_ino"
"Trifolium medium","Tri_med"
"Trifolium montanum","Tri_mont"
"Trifolium ochroleucon","Tri_och"
"Trifolium rubens","Tri_rub"
"Tussilago farfara","Tus_far"
"Urtica dioica","Urt_dio"
"Valeriana officinalis","Val_off"
"Veronica anagallis-aquatica","Ver_ana"
"Veronica arvensis","Ver_arv"
"Veronica austriaca subsp. teucrium","Ver_aus1"
"Veronica chamaedrys","Ver_cha"
"Verbascum chaixii subsp. austriacum","Ver_cha1"
"Veronica persica","Ver_per"
"Veronica polita","Ver_pol"
"Veronica serpyllifolia","Ver_ser"
"Veronica spicata","Ver_spi"
"Veronica spicata subsp. orchidea","Ver_spi1"
"Veronica officinalis","Vero_off"
"Vicia cracca","Vic_cra"
"Vicia hirsuta","Vic_hir"
"Vicia sativa subsp. nigra","Vic_sat1"
"Vicia sepium","Vic_sep"
"Vicia tenuifolia","Vic_ten"
"Vicia tetrasperma","Vic_tet"
"Vincetoxicum hirundinaria","Vin_hir"
"Viola arvensis","Vio_arv"
"Viola canina","Vio_can"
"Viola hirta","Vio_hir"
"Viola reichenbachiana","Vio_rei"
"Viola riviniana","Vio_riv"
